Rk,Squad,MP-H,W-H,D-H,L-H,GF-H,GA-H,GD-H,Pts-H,Pts/MP-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD-A,Pts-A,Pts/MP-A,year
1,Al-Hilal,15,11,2,2,31,15,+16,35,2.33,15,9,5,1,32,13,+19,32,2.13,2021
2,Al-Ittihad,15,11,2,2,31,10,+21,35,2.33,15,9,3,3,31,19,+12,30,2.00,2021
3,Al-Nassr,15,10,2,3,31,19,+12,32,2.13,15,9,2,4,27,17,+10,29,1.93,2021
4,Al-Shabab,15,9,5,1,28,12,+16,32,2.13,15,6,5,4,24,24,0,23,1.53,2021
5,Damac,15,7,5,3,19,18,+1,26,1.73,15,5,3,7,19,26,-7,18,1.20,2021
6,Al-Ta'ee,15,7,3,5,25,22,+3,24,1.60,15,4,1,10,8,23,-15,13,0.87,2021
7,Al-Raed,15,7,2,6,14,15,-1,23,1.53,15,3,4,8,21,30,-9,13,0.87,2021
8,Al-Fateh,15,5,3,7,31,25,+6,18,1.20,15,4,5,6,14,16,-2,17,1.13,2021
9,Abha,15,7,5,3,17,16,+1,26,1.73,15,2,3,10,10,27,-17,9,0.60,2021
10,Al-Fayha,15,7,5,3,11,5,+6,26,1.73,15,1,6,8,10,19,-9,9,0.60,2021
11,Al-Ettifaq,15,4,5,6,19,22,-3,17,1.13,15,4,5,6,21,25,-4,17,1.13,2021
12,Al-Taawoun,15,4,6,5,20,22,-2,18,1.20,15,3,7,5,23,26,-3,16,1.07,2021
13,Al-Batin,15,6,5,4,20,19,+1,23,1.53,15,2,4,9,11,22,-11,10,0.67,2021
14,Al-Faisaly,15,7,6,2,21,14,+7,27,1.80,15,0,6,9,7,23,-16,6,0.40,2021
15,Al-Ahli,15,4,7,4,24,21,+3,19,1.27,15,2,7,6,14,22,-8,13,0.87,2021
16,Al-Hazem,15,3,4,8,17,23,-6,13,0.87,15,1,1,13,6,27,-21,4,0.27,2021
