year,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2021,1,Al-Hilal,30,20,7,3,63,28,+35,67,10397,Moussa Marega - 13,Abdullah Al-Mayouf
2021,2,Al-Ittihad,30,20,5,5,62,29,+33,65,31263,Romarinho - 20,Marcelo Grohe
2021,3,Al-Nassr,30,19,4,7,58,36,+22,61,7500,Talisca - 20,Waleed Abdullah
2021,4,Al-Shabab,30,15,10,5,52,36,+16,55,5645,Carlos - 13,Fawaz Al-Qarni
2021,5,Damac,30,12,8,10,38,44,-6,44,4436,Emilio Zelaya - 13,Moustapha Zeghba
2021,6,Al-Ta'ee,30,11,4,15,33,45,-12,37,5316,Knowledge Musona - 6,Martin Lukov
2021,7,Al-Raed,30,10,6,14,35,45,-10,36,5873,Karim El Berkaoui - 13,Ahmed Al-Rehaili
2021,8,Al-Fateh,30,9,8,13,45,41,+4,35,7730,Firas Al-Buraikan - 11,Maksym Koval
2021,9,Abha,30,9,8,13,27,43,-16,35,2873,Saad Bguir - 7,Abdelali Mhamdi
2021,10,Al-Fayha,30,8,11,11,21,24,-3,35,4620,Ramon Lopes - 6,Vladimir Stojković
2021,11,Al-Ettifaq,30,8,10,12,40,47,-7,34,6196,Naïm Sliti - 9,Raïs M'Bolhi
2021,12,Al-Taawoun,30,7,13,10,43,48,-5,34,5341,Léandre Tawamba - 18,Cássio
2021,13,Al-Batin,30,8,9,13,31,41,-10,33,3015,Fábio Abreu - 9,Martín Campaña
2021,14,Al-Faisaly,30,7,12,11,28,37,-9,33,4418,Júlio Tavares - 9,Ahmed Al-Kassar
2021,15,Al-Ahli,30,6,14,10,38,43,-5,32,16935,Omar Al Somah - 10,Mohammed Al Yami
2021,16,Al-Hazem,30,4,5,21,23,50,-27,17,1850,Ola John - 8,Ibrahim Zaied
2020,1,Al-Hilal,30,18,7,5,60,27,33,61,1049,Bafétimbi Gomis - 24,Abdullah Al-Mayouf
2020,2,Al-Shabab,30,17,6,7,68,43,25,57,152,Cristian Guanca - 17,Zaid Al Bawardi
2020,3,Al-Ittihad,30,15,11,4,45,29,16,56,43,Romarinho - 16,Marcelo Grohe
2020,4,Al-Taawoun,30,13,8,9,42,30,12,47,401,Léandre Tawamba - 13,Cássio
2020,5,Al-Ettifaq,30,14,5,11,50,48,2,47,90,Naïm Sliti Walid Azaro - 9,Raïs M'Bolhi
2020,6,Al-Nassr,30,13,7,10,53,40,13,46,1060,Abderrazak Hamdallah - 11,Brad Jones
2020,7,Al-Fateh,30,12,6,12,55,55,0,42,138,Mitchell te Vrede - 13,Maksym Koval
2020,8,Al-Ahli,30,11,6,13,44,56,-12,39,48,Omar Al Somah - 12,Mohammed Al-Owais
2020,9,Al-Faisaly,30,9,9,12,42,47,-5,36,71,Júlio Tavares - 15,Mustafa Malayekah
2020,10,Al-Raed,30,10,6,14,44,47,-3,36,89,Karim El Berkaoui - 15,Azzedine Doukha
2020,11,Damac,30,9,9,12,43,48,-5,36,178,Emilio Zelaya - 19,Moustapha Zeghba
2020,12,Al-Batin,30,9,9,12,43,55,-12,36,113,Fábio Abreu - 17,Martín Campaña
2020,13,Abha,30,10,6,14,42,50,-8,36,133,Carlos Strandberg - 16,Abdelali Mhamdi
2020,14,Al-Qadsiah,30,8,11,11,41,47,-6,35,102,Hassan Al-Amri - 12,Faisel Masrahi
2020,15,Al-Wehda,30,9,5,16,40,60,-20,32,244,Youssouf Niakaté - 11,Abdullah Al-Owaishir
2020,16,Al-Ain,30,5,5,20,34,64,-30,20,43,Amadou Moutari - 7,Ameen Bokhari
2019,1,Al-Hilal,30,22,6,2,74,26,48,72,"10,683",Bafétimbi Gomis - 27,Abdullah Al-Mayouf
2019,2,Al-Nassr,30,19,7,4,60,26,34,64,"8,923",Abderrazak Hamdallah - 29,Brad Jones
2019,3,Al-Ahli,30,15,5,10,49,36,13,50,"10,244",Omar Al Somah - 19,Yasser Al Mosailem
2019,4,Al-Wehda,30,16,1,13,45,40,5,49,"6,703",Youssouf Niakaté - 16,Abdullah Al Jadani
