Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,team,Notes
2021-08-12,19:20,Pro League,Matchweek 1,Thu,Home,W,1,0,Al-Fateh,35,668,Sultan Fahran,3-4-3,Majed Mohammed Al Shamrani,Al-Raed,
2021-08-16,20:50,Pro League,Matchweek 2,Mon,Away,L,0,3,Al-Ittihad,49,23199,Sultan Fahran,3-4-3,Sami Ahmed Al Jurays,Al-Raed,
2021-08-25,19:05,Pro League,Matchweek 3,Wed,Home,W,2,0,Al-Hazem,44,1078,Sultan Fahran,3-4-3,Abdullah Al-Shehri,Al-Raed,
2021-09-12,18:30,Pro League,Matchweek 4,Sun,Away,D,2,2,Al-Ettifaq,33,3485,Sultan Fahran,3-4-3,Mohammed Zafer Al Qarni,Al-Raed,
2021-09-17,18:45,Pro League,Matchweek 5,Fri,Away,W,5,3,Al-Taawoun,39,9001,Sultan Fahran,3-4-3,Khalid Ahmed Sahlawi,Al-Raed,
2021-09-25,20:25,Pro League,Matchweek 6,Sat,Home,D,1,1,Al-Faisaly,58,4917,Abdullah Al-Fahad,3-4-3,Abdullah Saleh Al Harbi,Al-Raed,
2021-09-30,18:30,Pro League,Matchweek 7,Thu,Home,L,0,2,Damac,56,2408,Abdullah Al-Fahad,3-4-3,Khalid Saleh Al Turais,Al-Raed,
2021-10-16,18:05,Pro League,Matchweek 8,Sat,Away,L,0,1,Al-Fayha,65,3792,Abdullah Al-Fahad,3-4-3,Mohammed Khaled Al Hoish,Al-Raed,
2021-10-23,20:00,Pro League,Matchweek 9,Sat,Away,L,2,3,Al-Hilal,27,12305,Abdullah Al-Fahad,3-4-3,Artur Soares Dias,Al-Raed,
2021-10-29,18:05,Pro League,Matchweek 10,Fri,Home,W,1,0,Al-Batin,67,1454,Abdullah Al-Fahad,3-4-3,Raed Ali Al Zahrani,Al-Raed,
2021-11-03,18:00,Pro League,Matchweek 11,Wed,Home,W,4,0,Al-Ta'ee,50,2362,Sultan Fahran,3-4-1-2,Khalid Ahmed Sahlawi,Al-Raed,
2021-11-20,19:40,Pro League,Matchweek 12,Sat,Away,D,2,2,Al-Nassr,33,3630,Sultan Fahran,3-4-3,Bastian Dankert,Al-Raed,
2021-11-25,19:40,Pro League,Matchweek 13,Thu,Away,L,0,3,Al-Shabab,51,3405,Abdullah Al-Fahad,3-4-3,Majed Mohammed Al Shamrani,Al-Raed,
2021-12-27,15:20,Pro League,Matchweek 14,Mon,Home,W,1,0,Al-Ahli,38,1759,Abdullah Al-Fahad,4-4-2,Khalid Saleh Al Turais,Al-Raed,
2022-01-01,15:45,Pro League,Matchweek 15,Sat,Away,L,0,1,Abha,49,141,Sultan Fahran,4-4-2,Mohammed Sami Al Ismail,Al-Raed,
2022-01-08,17:45,Pro League,Matchweek 16,Sat,Away,W,3,2,Al-Fateh,51,7198,Abdullah Al-Fahad,3-4-3,István Kovács,Al-Raed,
2022-01-14,15:35,Pro League,Matchweek 17,Fri,Home,L,1,2,Al-Ittihad,57,8578,Abdullah Al-Fahad,4-2-3-1,Sultan Mohammed Al Akairi,Al-Raed,
2022-01-22,18:20,Pro League,Matchweek 18,Sat,Away,L,0,2,Al-Hazem,65,2009,Abdullah Al-Fahad,4-2-3-1,Majed Mohammed Al Shamrani,Al-Raed,
2022-02-05,15:50,Pro League,Matchweek 19,Sat,Home,D,1,1,Al-Ettifaq,59,2770,Abdullah Al-Fahad,4-2-3-1,Mohammed Zafer Al Qarni,Al-Raed,
2022-02-12,18:30,Pro League,Matchweek 20,Sat,Home,L,0,3,Al-Taawoun,50,7551,Sultan Fahran,4-2-3-1,Ilgiz Tantashev,Al-Raed,
2022-02-18,18:30,Pro League,Matchweek 21,Fri,Away,D,0,0,Al-Faisaly,50,3475,Sultan Fahran,4-2-3-1,Mohammed Sami Al Ismail,Al-Raed,
2022-02-26,16:15,Pro League,Matchweek 22,Sat,Away,L,2,3,Damac,68,3263,Sultan Fahran,4-2-3-1,Abdullah Fahad Al Owaidan,Al-Raed,
2022-03-05,18:45,Pro League,Matchweek 23,Sat,Home,W,1,0,Al-Fayha,52,5896,Sultan Fahran,4-2-3-1,Sultan Mohammed Al Akairi,Al-Raed,
2022-03-13,18:50,Pro League,Matchweek 24,Sun,Home,L,0,1,Al-Hilal,22,20082,Sultan Fahran,4-4-2,Sultan Sanat Al Harbi,Al-Raed,
2022-03-19,18:45,Pro League,Matchweek 25,Sat,Away,L,0,2,Al-Batin,62,4185,Abdullah Al-Fahad,4-1-4-1,Andris Treimanis,Al-Raed,
2022-05-07,20:50,Pro League,Matchweek 26,Sat,Away,D,2,2,Al-Ta'ee,55,5993,Ahmed Al-Zain,4-2-3-1,Georgi Kabakov,Al-Raed,
2022-05-21,21:00,Pro League,Matchweek 27,Sat,Home,L,0,3,Al-Nassr,49,16168,Sultan Fahran,4-2-3-1,Mohammed Sami Al Ismail,Al-Raed,
2022-05-27,21:00,Pro League,Matchweek 28,Fri,Home,L,0,2,Al-Shabab,41,,Sultan Fahran,3-4-3,Shukri Hussein Al Hunfush,Al-Raed,
2022-06-23,21:00,Pro League,Matchweek 29,Thu,Away,W,3,1,Al-Ahli,26,63079,Abdullah Al-Fahad,4-4-2,Facundo Tello,Al-Raed,
