Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,P-Save%,year
Abha,3,30,30,2700,30.0,43,1.43,128,90,70.3,9,8,13,8,26.7,5,5,0,0,0.0,2021
Al-Ahli,3,30,30,2700,30.0,43,1.43,124,85,68.5,6,14,10,5,16.7,4,4,0,0,0.0,2021
Al-Batin,2,30,30,2700,30.0,41,1.37,129,93,72.1,8,9,13,8,26.7,5,5,0,0,0.0,2021
Al-Ettifaq,2,30,30,2700,30.0,47,1.57,127,86,67.7,8,10,12,8,26.7,6,6,0,0,0.0,2021
Al-Faisaly,2,30,30,2698,30.0,37,1.23,116,84,72.4,7,12,11,10,33.3,6,5,1,0,16.7,2021
Al-Fateh,3,30,30,2700,30.0,41,1.37,98,65,63.3,9,8,13,9,30.0,10,5,5,0,50.0,2021
Al-Fayha,2,30,30,2700,30.0,24,0.80,117,96,81.2,8,11,11,13,43.3,4,2,2,0,50.0,2021
Al-Hazem,3,30,30,2700,30.0,48,1.60,105,66,57.1,4,5,21,5,16.7,10,3,6,1,66.7,2021
Al-Hilal,2,30,30,2700,30.0,28,0.93,86,65,75.6,20,7,3,12,40.0,7,7,0,0,0.0,2021
Al-Ittihad,2,30,30,2700,30.0,29,0.97,99,73,72.7,20,5,5,12,40.0,3,2,1,0,33.3,2021
Al-Nassr,3,30,30,2700,30.0,36,1.20,95,67,70.5,19,4,7,8,26.7,9,8,0,1,0.0,2021
Al-Raed,2,30,30,2700,30.0,45,1.50,111,72,64.0,10,6,14,8,26.7,7,5,1,1,16.7,2021
Al-Shabab,4,30,30,2700,30.0,36,1.20,121,93,76.0,15,10,5,11,36.7,8,7,1,0,12.5,2021
Al-Ta'ee,3,30,30,2700,30.0,45,1.50,122,80,65.6,11,4,15,6,20.0,3,3,0,0,0.0,2021
Al-Taawoun,2,30,30,2700,30.0,48,1.60,119,78,65.5,7,13,10,5,16.7,8,7,0,1,0.0,2021
Damac,2,30,30,2700,30.0,44,1.47,152,118,75.0,12,8,10,9,30.0,10,6,4,0,40.0,2021
Abha,1,30,30,2700,30.0,50,1.67,162,118,72.2,10,6,14,4,13.3,7,5,1,1,16.7,2020
Al-Ahli,3,30,30,2700,30.0,56,1.87,151,109,71.5,11,6,13,6,20.0,14,13,1,0,7.1,2020
Al-Ain,3,30,30,2700,30.0,64,2.13,138,88,60.9,5,5,20,5,16.7,15,10,5,0,33.3,2020
Al-Batin,2,30,30,2700,30.0,55,1.83,167,122,72.5,9,9,12,3,10.0,11,9,1,1,10.0,2020
Al-Ettifaq,2,30,30,2700,30.0,48,1.60,109,74,67.0,14,5,11,4,13.3,14,12,1,1,7.7,2020
Al-Faisaly,2,30,30,2700,30.0,47,1.57,114,76,64.0,9,9,12,5,16.7,9,6,3,0,33.3,2020
Al-Fateh,2,30,30,2700,30.0,56,1.87,131,81,61.1,12,6,12,4,13.3,7,5,1,1,16.7,2020
Al-Hilal,3,30,30,2700,30.0,27,0.90,98,80,79.6,18,7,5,11,36.7,9,7,2,0,22.2,2020
Al-Ittihad,2,30,30,2700,30.0,29,0.97,124,104,82.3,15,11,4,7,23.3,10,7,2,1,22.2,2020
Al-Nassr,2,30,30,2700,30.0,40,1.33,96,64,65.6,13,7,10,7,23.3,9,7,1,1,12.5,2020
Al-Qadsiah,2,30,30,2700,30.0,46,1.53,134,96,70.1,8,11,11,3,10.0,9,6,2,1,25.0,2020
Al-Raed,2,30,30,2700,30.0,45,1.50,104,65,62.5,10,6,14,7,23.3,8,6,1,1,14.3,2020
Al-Shabab,2,30,30,2700,30.0,41,1.37,132,95,72.7,17,6,7,6,20.0,6,5,1,0,16.7,2020
Al-Taawoun,2,30,30,2700,30.0,30,1.00,120,98,81.7,13,8,9,11,36.7,10,8,1,1,11.1,2020
Al-Wehda,2,30,30,2700,30.0,61,2.03,151,100,66.2,9,5,16,3,10.0,11,10,0,1,0.0,2020
Damac,2,30,30,2700,30.0,46,1.53,130,88,67.7,9,9,12,6,20.0,5,4,1,0,20.0,2020
Abha,1,30,30,2700,30.0,52,1.73,137,96,67.9,11,5,14,3,10.0,11,8,3,0,27.3,2019
Al-Adalah,3,30,30,2700,30.0,62,2.07,154,97,61.7,4,9,17,4,13.3,8,3,2,3,40.0,2019
Al-Ahli,4,30,30,2700,30.0,36,1.20,126,95,74.6,15,5,10,5,16.7,5,4,1,0,20.0,2019
Al-Ettifaq,2,30,30,2699,30.0,39,1.30,112,78,69.6,13,3,14,9,30.0,6,5,0,1,0.0,2019
Al-Faisaly,2,30,30,2700,30.0,36,1.20,105,75,70.5,14,6,10,8,26.7,7,5,1,1,16.7,2019
Al-Fateh,2,30,30,2700,30.0,49,1.63,120,83,68.3,8,9,13,5,16.7,12,11,1,0,8.3,2019
Al-Fayha,2,30,30,2700,30.0,44,1.47,133,95,71.4,8,8,14,5,16.7,6,6,0,0,0.0,2019
Al-Hazem,2,30,30,2700,30.0,61,2.03,156,106,67.3,7,6,17,4,13.3,11,10,1,0,9.1,2019
Al-Hilal,2,30,30,2700,30.0,26,0.87,97,74,76.3,22,6,2,10,33.3,5,3,1,1,25.0,2019
Al-Ittihad,3,30,30,2700,30.0,41,1.37,116,80,68.1,9,8,13,3,10.0,6,4,1,1,20.0,2019
Al-Nassr,2,30,30,2697,30.0,27,0.90,85,61,71.8,19,7,4,12,40.0,3,3,0,0,0.0,2019
Al-Raed,2,30,30,2700,30.0,50,1.67,131,94,68.7,13,7,10,7,23.3,13,9,4,0,30.8,2019
Al-Shabab,3,30,30,2700,30.0,37,1.23,117,88,74.4,12,7,11,11,36.7,8,7,1,0,12.5,2019
Al-Taawoun,2,30,30,2700,30.0,40,1.33,135,97,71.9,10,5,15,6,20.0,2,2,0,0,0.0,2019
Al-Wehda,3,30,30,2700,30.0,40,1.33,121,86,70.2,16,1,13,10,33.3,6,4,1,1,20.0,2019
Damac,3,30,30,2700,30.0,52,1.73,143,103,72.0,9,8,13,5,16.7,12,12,0,0,0.0,2019
Al-Ahli,2,30,30,2700,30.0,41,1.37,139,103,73.4,17,4,9,9,30.0,5,4,1,0,20.0,2018
Al-Batin,2,30,30,2700,30.0,48,1.60,137,93,67.9,7,4,19,8,26.7,4,4,0,0,0.0,2018
Al-Ettifaq,4,30,30,2700,30.0,56,1.87,136,92,65.4,8,9,13,7,23.3,12,9,3,0,25.0,2018
Al-Faisaly,1,30,30,2700,30.0,47,1.57,131,90,68.7,12,7,11,7,23.3,6,6,0,0,0.0,2018
Al-Fateh,2,30,30,2700,30.0,44,1.47,135,93,68.1,8,11,11,11,36.7,6,1,1,4,50.0,2018
Al-Fayha,3,30,30,2700,30.0,53,1.77,140,94,67.1,9,5,16,3,10.0,7,7,0,0,0.0,2018
Al-Hazem,1,30,30,2699,30.0,48,1.60,148,109,72.3,7,10,13,4,13.3,10,7,2,1,22.2,2018
Al-Hilal,2,30,30,2700,30.0,33,1.10,82,55,67.1,21,6,3,9,30.0,6,6,0,0,0.0,2018
Al-Ittihad,3,30,30,2700,30.0,43,1.43,119,82,68.1,9,7,14,7,23.3,7,5,1,1,16.7,2018
