Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,year
Abha,30,30.0,56,3,1,389,356,47,534,339,240,,,2,2021
Al-Ahli,35,30.0,77,3,3,408,378,48,645,335,289,,,1,2021
Al-Batin,29,30.0,71,2,1,428,440,26,467,395,309,,,5,2021
Al-Ettifaq,28,30.0,56,8,2,417,331,65,486,314,276,,,1,2021
Al-Faisaly,31,30.0,73,4,1,469,437,43,525,321,246,,,0,2021
Al-Fateh,39,30.0,73,7,3,407,407,63,522,284,282,,,0,2021
Al-Fayha,32,30.0,54,2,0,378,385,66,392,263,299,,,0,2021
Al-Hazem,37,30.0,70,4,1,447,387,29,482,317,272,,,1,2021
Al-Hilal,31,30.0,60,2,1,414,337,60,745,293,301,,,0,2021
Al-Ittihad,29,30.0,61,3,0,366,400,60,532,247,300,,,1,2021
Al-Nassr,32,30.0,61,4,1,377,379,36,513,303,321,,,0,2021
Al-Raed,28,30.0,44,1,0,389,381,53,509,305,326,,,1,2021
Al-Shabab,37,30.0,61,6,2,417,396,79,466,276,286,,,0,2021
Al-Ta'ee,32,30.0,70,0,0,463,395,56,545,380,336,,,1,2021
Al-Taawoun,34,30.0,77,6,2,409,421,53,439,280,299,,,3,2021
Damac,32,30.0,57,5,1,392,401,59,530,332,298,,,1,2021
Abha,24,30.0,68,2,2,385,381,43,534,442,297,,,0,2020
Al-Ahli,33,30.0,56,2,1,431,437,47,483,353,296,,,0,2020
Al-Ain,34,30.0,62,1,0,411,396,46,499,361,290,,,2,2020
Al-Batin,25,30.0,59,3,1,417,412,38,603,361,304,,,1,2020
Al-Ettifaq,27,30.0,54,3,1,440,405,35,546,394,294,,,1,2020
Al-Faisaly,29,30.0,71,1,1,410,452,29,543,361,285,,,0,2020
Al-Fateh,29,30.0,64,3,1,533,419,70,616,420,289,,,2,2020
Al-Hilal,28,30.0,57,1,0,424,364,61,785,287,274,,,0,2020
Al-Ittihad,30,30.0,56,3,1,413,397,34,495,287,267,,,1,2020
Al-Nassr,32,30.0,77,3,2,440,455,58,651,325,243,,,2,2020
Al-Qadsiah,32,30.0,74,7,5,423,474,34,425,334,260,,,0,2020
Al-Raed,29,30.0,75,5,5,436,364,41,479,376,305,,,2,2020
Al-Shabab,28,30.0,69,4,1,391,370,52,544,327,242,,,0,2020
Al-Taawoun,27,30.0,78,2,1,504,394,66,580,369,296,,,2,2020
Al-Wehda,30,30.0,76,3,0,431,383,59,600,293,275,,,2,2020
Damac,33,30.0,73,6,3,352,392,41,674,421,284,,,0,2020
Abha,29,30.0,65,4,3,384,398,75,440,368,346,1,3,0,2019
Al-Adalah,34,30.0,72,6,2,350,405,37,415,354,333,1,2,1,2019
Al-Ahli,37,30.0,70,4,3,427,366,47,648,380,327,0,0,0,2019
Al-Ettifaq,27,30.0,54,3,2,380,408,42,496,337,356,3,2,2,2019
Al-Faisaly,28,30.0,60,3,2,415,420,45,518,257,281,0,0,1,2019
Al-Fateh,28,30.0,74,4,1,477,341,50,555,361,315,2,4,0,2019
Al-Fayha,27,30.0,59,4,1,420,360,55,643,317,281,1,1,1,2019
Al-Hazem,28,30.0,54,2,1,446,375,42,575,406,358,3,4,2,2019
Al-Hilal,27,30.0,51,1,1,385,381,64,596,299,266,1,2,1,2019
Al-Ittihad,37,30.0,72,3,3,419,377,55,560,347,343,1,0,1,2019
Al-Nassr,28,30.0,51,1,0,364,380,58,786,301,303,0,0,1,2019
Al-Raed,24,30.0,60,2,0,415,445,46,427,296,318,2,2,0,2019
Al-Shabab,31,30.0,67,7,3,409,373,40,516,360,316,1,1,0,2019
Al-Taawoun,32,30.0,72,5,4,422,403,50,603,294,285,,,2,2019
Al-Wehda,36,30.0,77,3,1,420,366,58,484,351,357,2,0,1,2019
Damac,42,30.0,60,3,2,381,361,44,423,328,322,1,2,0,2019
Al-Ahli,36,30.0,59,4,2,383,379,66,528,403,359,7,8,0,2018
Al-Batin,32,30.0,62,2,1,419,435,37,358,410,370,6,4,2,2018
Al-Ettifaq,33,30.0,84,6,2,467,416,66,442,453,431,1,16,1,2018
Al-Faisaly,25,30.0,51,3,1,337,421,46,421,322,354,6,6,1,2018
Al-Fateh,30,30.0,59,2,1,368,335,48,485,431,365,8,6,1,2018
Al-Fayha,34,30.0,69,6,6,407,385,58,394,455,356,5,9,1,2018
Al-Hazem,30,30.0,60,3,2,439,421,64,508,462,434,3,12,2,2018
Al-Hilal,30,30.0,57,7,4,433,358,65,707,342,339,13,6,0,2018
Al-Ittihad,40,30.0,60,2,1,446,397,52,540,405,410,4,8,0,2018
Al-Nassr,31,30.0,42,2,1,414,434,57,628,339,355,9,7,1,2018
Al-Qadsiah,33,30.0,65,5,3,400,369,61,432,384,361,5,8,2,2018
Al-Raed,28,30.0,51,4,2,377,374,39,458,382,342,6,5,1,2018
Al-Shabab,31,30.0,65,5,1,436,452,57,561,428,354,3,7,1,2018
Al-Taawoun,27,30.0,66,3,3,478,405,66,555,415,350,17,3,0,2018
Al-Wehda,28,30.0,52,1,1,406,348,50,472,359,412,5,8,2,2018
Ohod,42,30.0,68,5,1,424,425,66,529,400,392,5,13,0,2018
