Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,year
Abha,30,28.3,30,2700,90,100,30.0,330,85,236,91,17,175,1.17,27,43,-16,-0.53,2021
Al-Ahli,35,27.5,30,2700,90,100,30.0,330,83,208,120,20,147,1.07,38,43,-5,-0.17,2021
Al-Batin,29,28.0,30,2700,90,100,30.0,330,86,243,88,15,179,1.10,31,41,-10,-0.33,2021
Al-Ettifaq,28,28.2,30,2700,90,100,30.0,330,83,212,115,19,154,1.13,40,47,-7,-0.23,2021
Al-Faisaly,31,28.7,30,2700,90,100,30.0,330,85,228,99,17,171,1.10,28,37,-9,-0.30,2021
Al-Fateh,39,28.3,30,2700,90,100,30.0,330,82,197,129,18,140,1.17,45,41,+4,+0.13,2021
Al-Fayha,32,29.3,30,2700,90,100,30.0,330,82,199,131,20,137,1.17,21,24,-3,-0.10,2021
Al-Hazem,37,27.8,30,2700,90,100,30.0,330,83,201,125,17,144,0.57,23,50,-27,-0.90,2021
Al-Hilal,31,29.2,30,2700,90,100,30.0,330,84,211,119,17,150,2.23,63,28,+35,+1.17,2021
Al-Ittihad,29,28.7,30,2700,90,100,30.0,330,85,223,104,16,166,2.17,62,29,+33,+1.10,2021
Al-Nassr,32,27.0,30,2700,90,100,30.0,330,82,213,114,22,156,2.03,58,36,+22,+0.73,2021
Al-Raed,28,28.8,30,2700,90,100,30.0,330,83,205,124,19,145,1.20,35,45,-10,-0.33,2021
Al-Shabab,37,27.8,30,2700,90,100,30.0,330,85,229,97,14,170,1.83,52,36,+16,+0.53,2021
Al-Ta'ee,32,28.8,30,2700,90,100,30.0,330,83,228,102,22,165,1.23,33,45,-12,-0.40,2021
Al-Taawoun,34,28.5,30,2700,90,100,30.0,330,84,211,116,16,147,1.13,43,48,-5,-0.17,2021
Damac,32,29.3,30,2700,90,100,30.0,330,82,188,138,18,132,1.47,38,44,-6,-0.20,2021
Abha,24,28.3,30,2700,90,100,30.0,330,86,253,77,17,193,1.20,42,50,-8,-0.27,2020
Al-Ahli,33,27.9,30,2700,90,100,30.0,330,82,206,122,20,147,1.30,44,56,-12,-0.40,2020
Al-Ain,34,28.3,30,2700,90,100,30.0,330,84,215,115,18,149,0.67,34,64,-30,-1.00,2020
Al-Batin,25,27.2,30,2700,90,100,30.0,330,83,226,101,21,165,1.20,43,55,-12,-0.40,2020
Al-Ettifaq,27,27.5,30,2700,90,100,30.0,330,85,220,109,13,159,1.57,50,48,+2,+0.07,2020
Al-Faisaly,29,27.9,30,2700,90,100,30.0,330,84,231,98,19,165,1.20,42,47,-5,-0.17,2020
Al-Fateh,29,28.5,30,2700,90,100,30.0,330,83,202,127,19,143,1.40,55,55,0,0.00,2020
Al-Hilal,28,29.1,30,2700,90,100,30.0,330,84,205,124,16,145,2.03,60,27,+33,+1.10,2020
Al-Ittihad,30,27.9,30,2700,90,100,30.0,330,84,211,119,16,151,1.87,45,29,+16,+0.53,2020
Al-Nassr,32,27.4,30,2700,90,100,30.0,330,83,210,119,21,150,1.53,53,40,+13,+0.43,2020
Al-Qadsiah,32,27.3,30,2700,90,100,30.0,330,85,218,107,14,160,1.17,41,47,-6,-0.20,2020
Al-Raed,29,28.2,30,2700,90,100,30.0,330,83,213,114,20,125,1.20,44,47,-3,-0.10,2020
Al-Shabab,28,28.0,30,2700,90,100,30.0,330,82,205,122,20,146,1.90,68,43,+25,+0.83,2020
Al-Taawoun,27,29.3,30,2700,90,100,30.0,330,82,200,130,19,139,1.57,42,30,+12,+0.40,2020
Al-Wehda,30,27.5,30,2700,90,100,30.0,330,85,228,101,17,166,1.07,40,60,-20,-0.67,2020
Damac,33,28.6,30,2700,90,100,30.0,330,81,196,129,21,140,1.20,43,48,-5,-0.17,2020
Abha,29,27.6,30,2700,90,100,30.0,330,86,,72,16,197,1.27,41,52,-11,-0.37,2019
Al-Adalah,34,28.0,30,2700,90,100,30.0,330,83,,98,20,170,0.70,27,62,-35,-1.17,2019
Al-Ahli,37,28.1,30,2700,90,100,30.0,330,84,,93,21,173,1.67,49,36,+13,+0.43,2019
Al-Ettifaq,27,26.8,30,2700,90,100,30.0,330,85,,99,18,171,1.40,46,38,+8,+0.27,2019
Al-Faisaly,28,28.0,30,2700,90,100,30.0,330,85,,88,18,179,1.60,41,36,+5,+0.17,2019
Al-Fateh,28,27.1,30,2700,90,100,30.0,330,84,,103,18,167,1.10,42,49,-7,-0.23,2019
Al-Fayha,27,28.7,30,2700,90,100,30.0,330,84,,98,18,161,1.07,34,44,-10,-0.33,2019
Al-Hazem,28,27.6,30,2700,90,100,30.0,330,84,,94,21,175,0.90,40,61,-21,-0.70,2019
Al-Hilal,27,28.7,30,2700,90,100,30.0,330,84,,103,18,164,2.40,74,26,+48,+1.60,2019
Al-Ittihad,37,27.4,30,2700,90,100,30.0,330,85,,84,18,174,1.17,42,41,+1,+0.03,2019
Al-Nassr,28,28.3,30,2700,90,100,30.0,330,85,,99,17,169,2.13,60,26,+34,+1.13,2019
Al-Raed,24,27.8,30,2700,90,100,30.0,330,84,,97,20,169,1.53,41,50,-9,-0.30,2019
Al-Shabab,31,28.3,30,2700,90,100,30.0,330,85,,79,18,180,1.43,38,37,+1,+0.03,2019
Al-Taawoun,32,29.5,30,2700,90,100,30.0,330,84,,100,19,162,1.17,33,40,-7,-0.23,2019
Al-Wehda,36,27.7,30,2700,90,100,30.0,330,86,,87,15,182,1.63,45,40,+5,+0.17,2019
Damac,42,28.2,30,2700,90,100,30.0,330,84,,94,20,174,1.17,37,52,-15,-0.50,2019
Al-Ahli,36,28.0,30,2700,90,100,30.0,330,84,,88,21,181,1.83,68,41,+27,+0.90,2018
Al-Batin,32,28.4,30,2700,90,100,30.0,330,85,,87,19,178,0.83,29,53,-24,-0.80,2018
Al-Ettifaq,33,26.0,30,2700,90,100,30.0,330,85,,82,21,187,1.10,40,55,-15,-0.50,2018
Al-Faisaly,25,28.5,30,2700,90,100,30.0,330,86,,77,15,192,1.43,51,47,+4,+0.13,2018
Al-Fateh,30,26.2,30,2700,90,100,30.0,330,84,,89,21,179,1.17,32,45,-13,-0.43,2018
Al-Fayha,34,28.5,30,2700,90,100,30.0,330,85,,88,19,181,1.07,36,52,-16,-0.53,2018
Al-Hazem,30,27.2,30,2700,90,100,30.0,330,85,,85,20,183,1.03,33,50,-17,-0.57,2018
Al-Hilal,30,28.4,30,2700,90,100,30.0,330,85,,82,17,186,2.30,66,33,+33,+1.10,2018
Al-Ittihad,40,27.4,30,2700,90,100,30.0,330,84,,85,22,176,1.13,44,45,-1,-0.03,2018
Al-Nassr,31,28.3,30,2700,90,100,30.0,330,86,,82,15,187,2.33,69,27,+42,+1.40,2018
Al-Qadsiah,33,26.8,30,2700,90,100,30.0,330,83,,86,24,181,0.93,34,51,-17,-0.57,2018
Al-Raed,28,27.5,30,2700,90,100,30.0,330,84,,89,21,173,1.27,38,48,-10,-0.33,2018
Al-Shabab,31,28.0,30,2700,90,100,30.0,330,84,,87,20,171,1.80,39,25,+14,+0.47,2018
Al-Taawoun,27,29.2,30,2700,90,100,30.0,330,86,,87,15,177,1.87,61,31,+30,+1.00,2018
Al-Wehda,28,27.1,30,2700,90,100,30.0,330,85,,89,20,175,1.40,41,41,0,0.00,2018
Ohod,42,28.5,30,2700,90,100,30.0,330,83,,86,26,169,0.70,25,62,-37,-1.23,2018
Al-Ahli,32,27.6,26,2340,90,100,26.0,286,85,,75,19,127,2.12,59,26,+33,+1.27,2017
Al-Batin,31,27.6,26,2340,90,100,26.0,286,86,,76,16,123,1.19,35,46,-11,-0.42,2017
Al-Ettifaq,37,25.0,26,2340,90,100,26.0,286,85,,73,19,131,1.38,37,46,-9,-0.35,2017
Al-Faisaly,26,27.5,26,2340,90,100,26.0,286,86,,72,17,124,1.35,39,33,+6,+0.23,2017
Al-Fateh,28,26.6,26,2340,90,100,26.0,286,85,,72,20,125,1.38,34,39,-5,-0.19,2017
Al-Fayha,32,28.1,26,2340,90,100,26.0,286,86,,69,18,129,1.31,36,40,-4,-0.15,2017
Al-Hilal,33,27.2,26,2340,90,100,26.0,286,84,,77,23,123,2.15,47,23,+24,+0.92,2017
Al-Ittihad,29,26.2,26,2340,90,100,26.0,286,85,,65,21,132,1.27,34,41,-7,-0.27,2017
Al-Nassr,35,28.1,26,2340,90,100,26.0,286,84,,76,22,119,1.69,47,34,+13,+0.50,2017
Al-Qadsiah,34,25.1,26,2340,90,100,26.0,286,85,,72,21,132,0.96,28,41,-13,-0.50,2017
Al-Raed,32,27.5,26,2340,90,100,26.0,286,84,,77,21,125,0.92,43,53,-10,-0.38,2017
Al-Shabab,35,26.5,26,2340,90,100,26.0,286,85,,72,21,119,1.19,36,36,0,0.00,2017
Al-Taawoun,28,28.4,26,2340,90,100,26.0,286,85,,78,19,124,1.31,43,36,+7,+0.27,2017
Ohod,31,26.8,26,2340,90,100,26.0,286,85,,75,20,121,0.69,24,48,-24,-0.92,2017
Al-Ahli,28,27.4,26,2340,90,100,26.0,286,85,,76,18,106,2.12,57,30,+27,+1.04,2016
Al-Batin,33,27.3,26,2340,90,100,26.0,286,84,,75,21,106,1.00,31,43,-12,-0.46,2016
Al-Ettifaq,33,25.3,26,2340,90,100,26.0,286,84,,76,23,106,1.04,31,45,-14,-0.54,2016
Al-Faisaly,33,28.1,26,2340,90,100,26.0,286,85,,74,19,108,1.08,30,41,-11,-0.42,2016
Al-Fateh,29,27.9,26,2340,90,100,26.0,286,85,,75,20,106,1.12,33,39,-6,-0.23,2016
Al-Hilal,31,26.7,26,2340,90,100,26.0,286,84,,77,20,104,2.54,63,16,+47,+1.81,2016
Al-Ittihad,32,26.0,26,2340,90,100,26.0,286,86,,72,17,109,2.00,57,37,+20,+0.77,2016
Al-Khaleej,31,25.2,26,2340,90,100,26.0,286,85,,77,18,105,0.88,32,51,-19,-0.73,2016
Al-Nassr,27,27.6,26,2340,90,100,26.0,286,84,,78,23,104,2.00,44,25,+19,+0.73,2016
Al-Qadsiah,28,24.1,26,2340,90,100,26.0,286,84,,74,23,106,1.08,38,38,0,0.00,2016
Al-Raed,32,26.5,26,2340,90,100,26.0,286,85,,76,17,105,1.35,37,47,-10,-0.38,2016
Al-Shabab,33,26.7,26,2340,90,100,26.0,286,86,,68,19,112,1.27,28,32,-4,-0.15,2016
Al-Taawoun,29,27.8,26,2340,90,100,26.0,286,84,,75,22,106,1.19,33,40,-7,-0.27,2016
Al-Wehda,36,26.5,26,2340,90,100,26.0,286,84,,77,20,103,0.65,35,65,-30,-1.15,2016
Al-Ahli,26,27.5,26,2340,90,100,26.0,286,85,,69,19,113,2.42,55,21,+34,+1.31,2015
Al-Faisaly,31,27.8,26,2340,90,100,26.0,286,86,,73,14,109,1.12,28,37,-9,-0.35,2015
Al-Fateh,25,27.5,26,2340,90,100,26.0,286,86,,77,16,105,1.58,35,28,+7,+0.27,2015
Al-Hilal,30,27.5,26,2340,90,100,26.0,286,84,,77,21,105,2.12,52,23,+29,+1.12,2015
Al-Ittihad,30,25.3,26,2340,90,100,26.0,286,84,,74,23,103,1.88,54,37,+17,+0.65,2015
Al-Khaleej,24,24.9,26,2340,90,100,26.0,286,84,,74,20,106,1.27,27,43,-16,-0.62,2015
Al-Nassr,33,28.0,26,2340,90,100,26.0,286,84,,77,23,102,1.23,39,33,+6,+0.23,2015
Al-Qadsiah,32,23.7,26,2340,90,100,26.0,286,84,,72,22,109,1.08,26,32,-6,-0.23,2015
Al-Raed,31,26.5,26,2340,90,100,26.0,286,84,,76,24,106,0.92,30,45,-15,-0.58,2015
Al-Shabab,29,27.1,26,2340,90,100,26.0,286,85,,76,20,106,1.50,27,28,-1,-0.04,2015
Al-Taawoun,27,28.8,26,2340,90,100,26.0,286,85,,77,16,104,1.73,54,35,+19,+0.73,2015
Al-Wehda,39,26.1,26,2340,90,100,26.0,286,85,,77,20,105,1.19,30,37,-7,-0.27,2015
Hajer,34,25.4,26,2340,90,100,26.0,286,84,,74,23,107,0.35,15,56,-41,-1.58,2015
Najran,34,26.8,26,2340,90,100,26.0,286,84,,71,22,110,0.81,36,53,-17,-0.65,2015
Al-Ahli,30,26.4,26,2340,90,100,26.0,286,85,,72,20,110,2.31,59,22,+37,+1.42,2014
Al-Faisaly,27,26.5,26,2340,90,100,26.0,286,84,,75,20,104,1.15,31,42,-11,-0.42,2014
Al-Fateh,27,28.1,26,2340,90,100,26.0,286,85,,74,19,107,1.27,35,43,-8,-0.31,2014
Al-Hilal,29,27.0,26,2340,90,100,26.0,286,84,,72,23,108,2.08,46,17,+29,+1.12,2014
Al-Ittihad,34,24.8,26,2340,90,100,26.0,286,85,,77,19,104,2.00,44,33,+11,+0.42,2014
Al-Khaleej,29,25.6,26,2340,90,100,26.0,286,85,,75,18,107,1.12,35,41,-6,-0.23,2014
Al-Nassr,28,27.8,26,2340,90,100,26.0,286,84,,74,23,108,2.46,62,20,+42,+1.62,2014
Al-Orobah,33,25.8,26,2340,90,100,26.0,286,85,,71,19,110,0.65,21,43,-22,-0.85,2014
Al-Raed,29,25.6,26,2340,90,100,26.0,286,84,,75,22,106,1.00,33,45,-12,-0.46,2014
Al-Shabab,34,27.6,26,2340,90,100,26.0,286,84,,74,21,109,1.54,37,31,+6,+0.23,2014
Al-Shoulla,33,26.7,26,2340,90,100,26.0,286,83,,74,24,105,0.81,26,48,-22,-0.85,2014
Al-Taawoun,29,26.9,26,2340,90,100,26.0,286,83,,77,23,104,1.08,42,46,-4,-0.15,2014
Hajer,30,26.1,26,2340,90,100,26.0,286,84,,76,21,103,1.08,29,56,-27,-1.04,2014
Najran,33,26.3,26,2340,90,100,26.0,286,85,,73,18,105,0.92,28,41,-13,-0.50,2014
