Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,year
Abha,30,30.0,26,316,101,32.0,10.53,3.37,0.07,0.23,3,5,2021
Al-Ahli,35,30.0,37,434,140,32.3,14.47,4.67,0.06,0.20,9,10,2021
Al-Batin,29,30.0,30,272,109,40.1,9.07,3.63,0.09,0.23,5,6,2021
Al-Ettifaq,28,30.0,39,358,119,33.2,11.93,3.97,0.10,0.29,4,6,2021
Al-Faisaly,31,30.0,28,306,91,29.7,10.20,3.03,0.08,0.29,2,2,2021
Al-Fateh,39,30.0,45,333,132,39.6,11.10,4.40,0.11,0.29,7,8,2021
Al-Fayha,32,30.0,21,307,105,34.2,10.23,3.50,0.07,0.19,1,1,2021
Al-Hazem,37,30.0,21,344,102,29.7,11.47,3.40,0.05,0.18,3,4,2021
Al-Hilal,31,30.0,63,446,167,37.4,14.87,5.57,0.13,0.34,6,8,2021
Al-Ittihad,29,30.0,60,381,157,41.2,12.70,5.23,0.13,0.32,10,12,2021
Al-Nassr,32,30.0,55,452,169,37.4,15.07,5.63,0.11,0.29,6,9,2021
Al-Raed,28,30.0,34,325,105,32.3,10.83,3.50,0.09,0.29,4,6,2021
Al-Shabab,37,30.0,49,387,157,40.6,12.90,5.23,0.12,0.29,4,7,2021
Al-Ta'ee,32,30.0,33,322,106,32.9,10.73,3.53,0.10,0.30,1,2,2021
Al-Taawoun,34,30.0,42,374,124,33.2,12.47,4.13,0.10,0.29,6,8,2021
Damac,32,30.0,37,301,112,37.2,10.03,3.73,0.09,0.25,9,10,2021
Abha,24,30.0,42,353,126,35.7,11.77,4.20,0.11,0.31,3,5,2020
Al-Ahli,33,30.0,44,376,139,37.0,12.53,4.63,0.10,0.27,6,8,2020
Al-Ain,34,30.0,34,364,128,35.2,12.13,4.27,0.08,0.23,4,5,2020
Al-Batin,25,30.0,41,340,115,33.8,11.33,3.83,0.11,0.32,4,5,2020
Al-Ettifaq,27,30.0,50,458,166,36.2,15.27,5.53,0.09,0.25,9,9,2020
Al-Faisaly,29,30.0,39,379,129,34.0,12.63,4.30,0.09,0.26,6,7,2020
Al-Fateh,29,30.0,53,422,159,37.7,14.07,5.30,0.10,0.27,10,11,2020
Al-Hilal,28,30.0,60,472,189,40.0,15.73,6.30,0.11,0.26,10,11,2020
Al-Ittihad,30,30.0,44,376,125,33.2,12.53,4.17,0.10,0.31,5,8,2020
Al-Nassr,32,30.0,52,461,167,36.2,15.37,5.57,0.09,0.25,10,19,2020
Al-Qadsiah,32,30.0,41,336,123,36.6,11.20,4.10,0.09,0.24,12,13,2020
Al-Raed,29,30.0,44,324,129,39.8,10.80,4.30,0.11,0.27,9,13,2020
Al-Shabab,28,30.0,68,443,191,43.1,14.77,6.37,0.14,0.32,7,8,2020
Al-Taawoun,27,30.0,38,342,111,32.5,11.40,3.70,0.10,0.30,5,7,2020
Al-Wehda,30,30.0,39,371,142,38.3,12.37,4.73,0.09,0.23,7,8,2020
Damac,33,30.0,42,356,129,36.2,11.87,4.30,0.08,0.22,13,14,2020
Abha,29,30.0,39,327,102,31.2,10.90,3.40,0.10,0.32,6,6,2019
Al-Adalah,34,30.0,27,322,101,31.4,10.73,3.37,0.07,0.22,5,8,2019
Al-Ahli,37,30.0,48,421,148,35.2,14.03,4.93,0.10,0.30,4,6,2019
Al-Ettifaq,27,30.0,44,374,147,39.3,12.47,4.90,0.10,0.24,8,9,2019
Al-Faisaly,28,30.0,40,343,125,36.4,11.43,4.17,0.10,0.28,5,7,2019
Al-Fateh,28,30.0,41,370,123,33.2,12.33,4.10,0.09,0.26,9,12,2019
Al-Fayha,27,30.0,33,396,141,35.6,13.20,4.70,0.08,0.21,3,4,2019
Al-Hazem,28,30.0,39,399,141,35.3,13.30,4.70,0.09,0.24,5,8,2019
Al-Hilal,27,30.0,73,422,179,42.4,14.07,5.97,0.14,0.34,12,14,2019
Al-Ittihad,37,30.0,41,321,125,38.9,10.70,4.17,0.11,0.27,7,7,2019
Al-Nassr,28,30.0,60,512,191,37.3,17.07,6.37,0.10,0.27,9,10,2019
Al-Raed,24,30.0,41,308,115,37.3,10.27,3.83,0.11,0.29,8,10,2019
Al-Shabab,31,30.0,38,379,133,35.1,12.63,4.43,0.09,0.26,4,8,2019
Al-Taawoun,32,30.0,32,362,112,30.9,12.07,3.73,0.08,0.25,4,4,2019
Al-Wehda,36,30.0,45,341,138,40.5,11.37,4.60,0.12,0.30,3,3,2019
Damac,42,30.0,36,312,118,37.8,10.40,3.93,0.10,0.27,4,5,2019
Al-Ahli,36,30.0,67,413,167,40.4,13.77,5.57,0.14,0.35,8,8,2018
Al-Batin,32,30.0,28,296,118,39.9,9.87,3.93,0.08,0.20,4,6,2018
Al-Ettifaq,33,30.0,40,397,147,37.0,13.23,4.90,0.10,0.26,2,2,2018
Al-Faisaly,25,30.0,51,369,139,37.7,12.30,4.63,0.13,0.34,4,6,2018
Al-Fateh,30,30.0,30,320,114,35.6,10.67,3.80,0.07,0.19,8,9,2018
Al-Fayha,34,30.0,33,329,114,34.7,10.97,3.80,0.09,0.26,3,3,2018
Al-Hazem,30,30.0,32,356,131,36.8,11.87,4.37,0.08,0.22,3,4,2018
Al-Hilal,30,30.0,66,491,189,38.5,16.37,6.30,0.11,0.29,12,15,2018
Al-Ittihad,40,30.0,44,450,150,33.3,15.00,5.00,0.09,0.27,3,5,2018
Al-Nassr,31,30.0,66,446,166,37.2,14.87,5.53,0.13,0.35,8,9,2018
Al-Qadsiah,33,30.0,34,340,112,32.9,11.33,3.73,0.09,0.29,2,3,2018
Al-Raed,28,30.0,38,345,108,31.3,11.50,3.60,0.09,0.30,6,7,2018
Al-Shabab,31,30.0,39,453,160,35.3,15.10,5.33,0.08,0.23,3,4,2018
Al-Taawoun,27,30.0,59,462,175,37.9,15.40,5.83,0.11,0.29,9,13,2018
Al-Wehda,28,30.0,40,359,122,34.0,11.97,4.07,0.10,0.30,4,6,2018
Ohod,42,30.0,24,344,112,32.6,11.47,3.73,0.06,0.18,4,5,2018
