Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls-90,Ast-90,G+A,G-PK-90,G+A-PK,year
Abha,30,28.3,47.2,30,330,2700,30.0,26,17,23,3,5,56,3,0.87,0.57,1.43,0.77,1.33,2021
Al-Ahli,35,27.5,55.2,30,330,2700,30.0,37,21,28,9,10,77,3,1.23,0.70,1.93,0.93,1.63,2021
Al-Batin,29,28.0,42.1,30,330,2700,30.0,30,15,25,5,6,71,2,1.00,0.50,1.50,0.83,1.33,2021
Al-Ettifaq,28,28.2,48.9,30,330,2700,30.0,39,25,35,4,6,56,8,1.30,0.83,2.13,1.17,2.00,2021
Al-Faisaly,31,28.7,51.0,30,330,2700,30.0,28,18,26,2,2,73,4,0.93,0.60,1.53,0.87,1.47,2021
Al-Fateh,39,28.3,52.5,30,330,2700,30.0,45,25,38,7,8,73,7,1.50,0.83,2.33,1.27,2.10,2021
Al-Fayha,32,29.3,39.6,30,330,2700,30.0,21,18,20,1,1,54,2,0.70,0.60,1.30,0.67,1.27,2021
Al-Hazem,37,27.8,49.2,30,330,2700,30.0,21,13,18,3,4,70,4,0.70,0.43,1.13,0.60,1.03,2021
Al-Hilal,31,29.2,64.3,30,330,2700,30.0,63,45,57,6,8,60,2,2.10,1.50,3.60,1.90,3.40,2021
Al-Ittihad,29,28.7,52.4,30,330,2700,30.0,60,41,50,10,12,61,3,2.00,1.37,3.37,1.67,3.03,2021
Al-Nassr,32,27.0,54.8,30,330,2700,30.0,55,29,49,6,9,61,4,1.83,0.97,2.80,1.63,2.60,2021
Al-Raed,28,28.8,47.8,30,330,2700,30.0,34,21,30,4,6,44,1,1.13,0.70,1.83,1.00,1.70,2021
Al-Shabab,37,27.8,54.1,30,330,2700,30.0,49,39,45,4,7,61,6,1.63,1.30,2.93,1.50,2.80,2021
Al-Ta'ee,32,28.8,47.0,30,330,2700,30.0,33,27,32,1,2,70,0,1.10,0.90,2.00,1.07,1.97,2021
Al-Taawoun,34,28.5,49.4,30,330,2700,30.0,42,26,36,6,8,77,6,1.40,0.87,2.27,1.20,2.07,2021
Damac,32,29.3,46.8,30,330,2700,30.0,37,16,28,9,10,57,5,1.23,0.53,1.77,0.93,1.47,2021
Abha,24,28.3,43.2,30,330,2700,30.0,42,28,39,3,5,68,2,1.40,0.93,2.33,1.30,2.23,2020
Al-Ahli,33,27.9,48.8,30,330,2700,30.0,44,28,38,6,8,56,2,1.47,0.93,2.40,1.27,2.20,2020
Al-Ain,34,28.3,53.2,30,330,2700,30.0,34,22,30,4,5,62,1,1.13,0.73,1.87,1.00,1.73,2020
Al-Batin,25,27.2,45.7,30,330,2700,30.0,41,33,37,4,5,59,3,1.37,1.10,2.47,1.23,2.33,2020
Al-Ettifaq,27,27.5,52.4,30,330,2700,30.0,50,30,41,9,9,54,3,1.67,1.00,2.67,1.37,2.37,2020
Al-Faisaly,29,27.9,50.8,30,330,2700,30.0,39,25,33,6,7,71,1,1.30,0.83,2.13,1.10,1.93,2020
Al-Fateh,29,28.5,48.2,30,330,2700,30.0,53,32,43,10,11,64,3,1.77,1.07,2.83,1.43,2.50,2020
Al-Hilal,28,29.1,65.5,30,330,2700,30.0,60,29,50,10,11,57,1,2.00,0.97,2.97,1.67,2.63,2020
Al-Ittihad,30,27.9,50.5,30,330,2700,30.0,44,29,39,5,8,56,3,1.47,0.97,2.43,1.30,2.27,2020
Al-Nassr,32,27.4,57.8,30,330,2700,30.0,52,34,42,10,19,77,3,1.73,1.13,2.87,1.40,2.53,2020
Al-Qadsiah,32,27.3,45.6,30,330,2700,30.0,41,21,29,12,13,74,7,1.37,0.70,2.07,0.97,1.67,2020
Al-Raed,29,28.2,47.8,30,330,2700,30.0,44,28,35,9,13,75,5,1.47,0.93,2.40,1.17,2.10,2020
Al-Shabab,28,28.0,55.4,30,330,2700,30.0,68,56,61,7,8,69,4,2.27,1.87,4.13,2.03,3.90,2020
Al-Taawoun,27,29.3,47.6,30,330,2700,30.0,38,24,33,5,7,78,2,1.27,0.80,2.07,1.10,1.90,2020
Al-Wehda,30,27.5,45.5,30,330,2700,30.0,39,26,32,7,8,76,3,1.30,0.87,2.17,1.07,1.93,2020
Damac,33,28.6,42.7,30,330,2700,30.0,42,25,29,13,14,73,6,1.40,0.83,2.23,0.97,1.80,2020
