year,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/Mp,W-H,D-H,L-H,GF-H,GA-H,GD-H,Pts-H,Pts/MP-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD-A,Pts-A,Pts/MP-A,Attendance,Pk,Min,Age,n_FW,n_MF,n_DF,n_GK,n_S,n_nS,Ast,G+A,onG,CS,CS%,PKA,PKm,PKsv,Saves,SoTA
2019,1,Al-Hilal,30,22,6,2,74,26,48,72,2,13,1,1,39,12,27,40,2,15,9,5,1,35,14,21,32,2,10683,12,29691,27,3,13,9,2,20,7,48,8,814,10,33,3,1,1,74,97
2018,1,Al-Nassr,30,22,4,4,69,27,42,70,2,12,0,3,37,15,22,36,2,15,10,4,1,32,12,20,34,2,16408,8,29648,26,4,13,11,3,22,9,50,6,759,13,43,5,1,0,69,91
2018,2,Al-Hilal,30,21,6,3,66,33,33,69,2,9,4,2,33,19,14,31,2,15,12,2,1,33,14,19,38,2,19551,12,29634,27,5,14,9,2,19,11,40,9,723,9,30,6,0,0,55,82
2021,1,Al-Hilal,30,20,7,3,63,28,35,67,2,11,2,2,31,15,16,35,2,15,9,5,1,32,13,19,32,2,10397,6,29653,26,7,10,12,2,22,9,45,8,691,12,40,7,0,0,65,86
2016,1,Al-Hilal,26,21,3,2,63,16,47,66,2,9,2,2,33,9,24,29,2,13,12,1,0,30,7,23,37,2,15387,5,25668,25,4,17,9,1,25,6,40,15,691,13,50,0,0,2,0,0
2021,2,Al-Ittihad,30,20,5,5,62,29,33,65,2,11,2,2,31,10,21,35,2,15,9,3,3,31,19,12,30,2,31263,10,29644,27,6,12,9,2,19,10,41,20,681,12,40,2,0,1,73,99
2014,1,Al-Nassr,26,20,4,2,62,20,42,64,2,9,3,1,32,13,19,30,2,13,11,1,1,30,7,23,34,2,19579,7,25621,26,7,10,9,2,22,6,26,7,681,12,46,6,0,0,0,0
2019,2,Al-Nassr,30,19,7,4,60,26,34,64,2,9,4,2,31,15,16,31,2,15,10,3,2,29,11,18,33,2,8923,9,29674,25,3,14,9,2,21,7,40,7,658,12,40,3,0,0,61,85
2015,1,Al-Ahli,26,19,6,1,55,21,34,63,2,9,3,1,30,15,15,30,2,13,10,3,0,25,6,19,33,2,27716,9,25672,26,5,7,12,2,21,5,33,6,602,11,42,3,1,0,0,0
2021,3,Al-Nassr,30,19,4,7,58,36,22,61,2,10,2,3,31,19,12,32,2,15,9,2,4,27,17,10,29,1,7500,6,29619,26,4,14,11,3,23,9,29,6,635,8,26,8,1,0,67,95
2020,1,Al-Hilal,30,18,7,5,60,27,33,61,2,10,3,2,30,13,17,33,2,15,8,4,3,30,14,16,28,1,1049,10,29673,26,2,15,8,3,21,7,29,6,658,11,36,7,0,2,80,98
2014,2,Al-Ahli,26,17,9,0,59,22,37,60,2,8,5,0,28,9,19,29,2,13,9,4,0,31,13,18,31,2,36165,7,25736,25,8,9,11,2,22,8,23,8,649,9,34,2,0,0,0,0
2020,2,Al-Shabab,30,17,6,7,68,43,25,57,1,9,3,3,30,18,12,30,2,15,8,3,4,38,25,13,27,1,152,7,29612,26,3,14,9,2,19,9,56,9,748,6,20,5,0,1,95,132
2018,3,Al-Taawoun,30,16,8,6,61,31,30,56,1,10,4,1,38,17,21,34,2,15,6,4,5,23,14,9,22,1,4446,9,29599,27,5,11,9,2,17,10,41,6,669,10,33,3,0,0,72,101
2017,1,Al-Hilal,26,16,8,2,47,23,24,56,2,9,4,0,22,10,12,31,2,13,7,4,2,25,13,12,25,1,12194,6,25740,26,5,17,9,2,25,8,35,12,517,8,30,3,0,1,0,0
2020,3,Al-Ittihad,30,15,11,4,45,29,16,56,1,8,4,3,21,12,9,28,1,15,7,7,1,24,17,7,28,1,43,5,29569,25,3,14,11,2,22,8,29,5,494,7,23,7,1,2,104,124
2021,4,Al-Shabab,30,15,10,5,52,36,16,55,1,9,5,1,28,12,16,32,2,15,6,5,4,24,24,0,23,1,5645,4,29542,26,6,14,13,4,27,10,39,5,571,11,36,7,0,1,93,121
2015,2,Al-Hilal,26,17,4,5,52,23,29,55,2,8,3,2,27,9,18,27,2,13,9,1,3,25,14,11,28,2,11804,2,25729,25,5,10,12,3,25,5,29,8,572,12,46,2,0,0,0,0
2018,4,Al-Ahli,30,17,4,9,68,41,27,55,1,7,3,5,32,18,14,24,1,15,10,1,4,36,23,13,31,2,18889,8,29582,26,5,16,13,2,25,11,48,10,744,9,30,4,0,1,103,139
2017,2,Al-Ahli,26,16,7,3,59,26,33,55,2,10,3,0,37,10,27,33,2,13,6,4,3,22,16,6,22,1,16213,7,25739,26,3,17,10,2,23,9,42,8,649,9,34,2,3,1,0,0
2016,2,Al-Ahli,26,17,4,5,57,30,27,55,2,9,2,2,27,11,16,29,2,13,8,2,3,30,19,11,26,2,20689,5,25721,25,3,13,10,2,23,5,34,7,627,7,26,4,2,1,0,0
2018,5,Al-Shabab,30,15,9,6,39,25,14,54,1,8,4,3,21,13,8,28,1,15,7,5,3,18,12,6,26,1,3428,3,29569,25,5,16,7,3,20,11,29,7,428,11,36,4,1,0,98,120
2014,3,Al-Hilal,26,16,6,4,46,17,29,54,2,10,1,2,31,8,23,31,2,13,6,5,2,15,9,6,23,1,13043,3,25691,25,6,8,12,3,24,5,14,5,506,10,38,4,0,0,0,0
2014,4,Al-Ittihad,26,16,4,6,44,33,11,52,2,8,2,3,21,16,5,26,2,13,8,2,3,23,17,6,26,2,42371,5,25689,25,8,12,12,2,26,8,13,5,482,7,26,6,1,0,0,0
2016,4,Al-Ittihad,26,17,4,5,57,37,20,52,2,7,2,4,25,20,5,23,1,13,10,2,1,32,17,15,32,2,25407,3,25737,23,3,15,11,3,28,4,35,7,626,6,23,6,2,0,0,0
2016,3,Al-Nassr,26,16,4,6,44,25,19,52,2,9,3,1,22,7,15,30,2,13,7,1,5,22,18,4,22,1,7635,4,25740,26,4,13,7,3,23,4,29,5,483,11,42,2,0,0,0,0
2019,3,Al-Ahli,30,15,5,10,49,36,13,50,1,10,3,2,31,15,16,33,2,15,5,2,8,18,21,-3,17,1,10244,4,29668,26,8,14,11,4,28,9,32,24,538,5,16,4,0,1,95,126
2015,3,Al-Ittihad,26,15,4,7,54,37,17,49,1,7,2,4,28,21,7,23,1,13,8,2,3,26,16,10,26,2,22728,5,25674,24,7,11,9,3,25,5,24,5,590,7,26,1,1,1,0,0
2019,5,Al-Faisaly,30,14,6,10,41,36,5,48,1,10,3,2,26,15,11,33,2,15,4,3,8,15,21,-6,15,1,2459,5,29679,26,3,14,9,2,19,9,27,3,453,8,26,5,1,1,75,105
2020,4,Al-Taawoun,30,13,8,9,42,30,12,47,1,7,4,4,25,16,9,25,1,15,6,4,5,17,14,3,22,1,401,5,29596,27,3,13,9,2,19,8,24,4,458,11,36,8,1,1,98,120
2019,6,Al-Raed,30,13,7,10,41,50,-9,46,1,9,2,4,23,21,2,29,1,15,4,5,6,18,29,-11,17,1,3616,8,29593,25,4,10,8,2,17,7,21,3,450,7,23,9,0,4,94,131
2020,6,Al-Nassr,30,13,7,10,53,40,13,46,1,8,3,4,35,21,14,27,1,15,5,4,6,18,19,-1,19,1,1060,10,29682,25,7,14,9,2,24,8,34,6,583,7,23,7,1,1,64,96
2015,4,Al-Taawoun,26,13,6,7,54,35,19,45,1,9,2,2,35,14,21,29,2,13,4,4,5,19,21,-2,16,1,5378,1,25571,26,6,9,9,3,23,4,34,5,590,6,23,3,0,3,0,0
2017,3,Al-Nassr,26,12,8,6,47,34,13,44,1,8,3,2,24,17,7,27,2,13,4,5,4,23,17,6,17,1,5480,8,25690,25,6,14,12,3,25,10,27,9,515,5,19,1,1,0,0,0
2019,7,Al-Shabab,30,12,7,11,38,37,1,43,1,8,3,4,23,16,7,27,1,15,4,4,7,15,21,-6,16,1,6482,4,29574,26,4,14,10,3,22,9,30,5,416,11,36,7,0,1,88,117
2018,6,Al-Faisaly,30,12,7,11,51,47,4,43,1,7,5,3,28,19,9,26,1,15,5,2,8,23,28,-5,17,1,1190,4,29671,27,4,11,9,1,16,9,34,6,556,7,23,6,0,0,90,131
2020,7,Al-Fateh,30,12,6,12,55,55,0,42,1,4,3,8,27,32,-5,15,1,15,8,3,4,28,23,5,27,1,138,10,29655,26,4,14,9,2,20,9,32,6,602,4,13,5,1,1,81,131
2015,5,Al-Fateh,26,11,8,7,35,28,7,41,1,6,5,2,16,11,5,23,1,13,5,3,5,19,17,2,18,1,2860,2,25692,26,4,9,10,2,19,6,16,5,383,8,30,2,0,0,0,0
2014,5,Al-Shabab,26,11,7,8,37,31,6,40,1,6,2,5,21,18,3,20,1,13,5,5,3,16,13,3,20,1,3375,5,25627,26,10,13,8,3,26,8,14,5,403,10,38,2,0,0,0,0
2020,8,Al-Ahli,30,11,6,13,44,56,-12,39,1,5,5,5,19,20,-1,20,1,15,6,1,8,25,36,-11,19,1,48,6,29636,26,6,15,9,3,25,8,28,7,483,6,20,13,0,1,109,151
2015,6,Al-Shabab,26,11,6,9,27,28,-1,39,1,5,3,5,14,13,1,18,1,13,6,3,4,13,15,-2,21,1,2939,1,25714,26,6,13,8,2,23,6,14,4,297,8,30,2,0,1,0,0
2018,8,Al-Raed,30,10,8,12,38,48,-10,38,1,4,5,6,14,23,-9,17,1,15,6,3,6,24,25,-1,21,1,4089,6,29615,26,4,12,10,2,18,10,24,5,418,8,26,3,0,0,99,142
2021,7,Al-Raed,30,10,6,14,35,45,-10,36,1,7,2,6,14,15,-1,23,1,15,3,4,8,21,30,-9,13,0,5873,4,29699,27,4,14,8,2,21,7,21,4,385,8,26,5,1,1,72,111
2017,5,Al-Fateh,26,9,9,8,34,39,-5,36,1,5,4,4,17,21,-4,19,1,13,4,5,4,17,18,-1,17,1,2978,3,25666,25,2,13,11,2,21,7,19,4,374,9,34,3,1,1,0,0
2020,10,Al-Raed,30,10,6,14,44,47,-3,36,1,3,4,8,23,26,-3,13,0,15,7,2,6,21,21,0,23,1,89,9,29603,27,6,15,6,2,19,10,28,9,483,7,23,6,1,1,65,104
2020,9,Al-Faisaly,30,9,9,12,42,47,-5,36,1,4,5,6,20,27,-7,17,1,15,5,4,6,22,20,2,19,1,71,6,29675,25,2,15,10,2,22,7,25,4,460,5,16,6,0,3,76,114
2021,8,Al-Fateh,30,9,8,13,45,41,4,35,1,5,3,7,31,25,6,18,1,15,4,5,6,14,16,-2,17,1,7730,7,29439,24,3,20,13,3,30,9,25,4,495,9,30,5,0,5,65,98
2019,11,Al-Ittihad,30,9,8,13,42,41,1,35,1,5,3,7,25,21,4,18,1,15,4,5,6,17,20,-3,17,1,13822,7,29622,26,6,15,13,3,24,13,29,7,463,3,10,4,1,1,80,116
2019,12,Al-Taawoun,30,10,5,15,33,40,-7,35,1,8,2,5,19,18,1,26,1,15,2,3,10,14,22,-8,9,0,3828,4,29644,26,5,16,9,2,25,7,21,5,361,6,20,2,0,0,97,135
2018,9,Al-Fateh,30,8,11,11,32,45,-13,35,1,6,4,5,18,17,1,22,1,15,2,7,6,14,28,-14,13,0,3427,8,29660,25,2,16,10,2,20,10,14,4,352,11,36,1,4,1,93,135
2016,5,Al-Raed,26,11,2,13,37,47,-10,35,1,8,1,4,24,21,3,25,1,13,3,1,9,13,26,-13,10,0,5843,5,25674,26,2,17,8,5,27,5,25,4,407,3,11,4,1,0,0,0
2017,6,Al-Faisaly,26,9,8,9,39,33,6,35,1,5,3,5,18,16,2,18,1,13,4,5,4,21,17,4,17,1,972,3,25738,26,6,10,9,1,17,9,28,5,429,6,23,5,0,1,0,0
2018,10,Al-Ittihad,30,9,7,14,44,45,-1,34,1,4,5,6,23,22,1,17,1,15,5,2,8,21,23,-2,17,1,33482,3,29671,25,4,17,16,3,28,12,34,7,484,7,23,5,1,1,82,119
2021,12,Al-Taawoun,30,7,13,10,43,48,-5,34,1,4,6,5,20,22,-2,18,1,15,3,7,5,23,26,-3,16,1,5341,6,29497,26,5,14,13,2,21,13,26,4,475,5,16,7,1,0,78,119
2017,7,Al-Taawoun,26,9,7,10,43,36,7,34,1,6,4,3,24,14,10,22,1,13,3,3,7,19,22,-3,12,0,3876,6,25732,26,6,12,8,2,19,9,25,6,472,6,23,1,2,1,0,0
2016,6,Al-Shabab,26,8,9,9,28,32,-4,33,1,3,6,4,16,16,0,15,1,13,5,3,5,12,16,-4,18,1,2801,4,25740,24,4,16,9,4,28,5,17,3,307,6,23,5,2,0,0,0
2014,6,Al-Fateh,26,9,6,11,35,43,-8,33,1,6,3,4,18,14,4,21,1,13,3,3,7,17,29,-12,12,0,3876,4,25667,26,4,10,11,2,21,6,12,3,385,4,15,4,6,0,0,0
2017,9,Al-Ittihad,26,8,9,9,34,41,-7,33,1,2,7,4,17,22,-5,13,1,13,6,2,5,17,19,-2,20,1,16213,3,25739,24,2,13,12,2,25,4,25,4,374,5,19,2,1,2,0,0
2021,14,Al-Faisaly,30,7,12,11,28,37,-9,33,1,7,6,2,21,14,7,27,1,15,0,6,9,7,23,-16,6,0,4418,2,29637,27,2,17,10,2,21,10,18,3,309,10,33,5,0,1,84,116
2019,13,Al-Fateh,30,8,9,13,42,49,-7,33,1,5,6,4,20,19,1,21,1,15,3,3,9,22,30,-8,12,0,7305,9,29556,26,5,11,10,2,17,11,25,4,461,5,16,11,0,1,83,120
2021,15,Al-Ahli,30,6,14,10,38,43,-5,32,1,4,7,4,24,21,3,19,1,15,2,7,6,14,22,-8,13,0,16935,9,29671,26,5,15,12,3,24,11,21,4,419,5,16,4,0,0,85,124
2015,8,Al-Nassr,26,7,11,8,39,33,6,32,1,4,6,3,17,12,5,18,1,13,3,5,5,22,21,1,14,1,6323,5,25740,25,9,9,12,3,27,6,25,7,429,9,34,3,1,1,0,0
2017,10,Al-Shabab,26,8,7,11,36,36,0,31,1,4,3,6,18,17,1,15,1,13,4,4,5,18,19,-1,16,1,2135,1,25694,25,3,19,11,2,26,9,26,5,396,5,19,3,0,1,0,0
2016,7,Al-Taawoun,26,9,4,13,33,40,-7,31,1,6,3,4,18,16,2,21,1,13,3,1,9,15,24,-9,10,0,5025,3,25730,26,4,13,9,3,23,6,22,6,363,8,30,5,1,1,0,0
2014,7,Al-Faisaly,26,8,6,12,31,42,-11,30,1,4,3,6,17,24,-7,15,1,13,4,3,6,14,18,-4,15,1,570,3,25651,25,5,9,9,4,21,6,16,5,340,8,30,3,0,0,0,0
2015,10,Al-Faisaly,26,7,8,11,28,37,-9,29,1,3,4,6,17,20,-3,13,1,13,4,4,5,11,17,-6,16,1,481,8,25633,25,9,9,10,3,23,8,8,4,304,7,26,4,0,1,0,0
2016,8,Al-Fateh,26,7,8,11,33,39,-6,29,1,5,3,5,20,18,2,18,1,13,2,5,6,13,21,-8,11,0,3384,4,25714,27,5,13,9,2,22,7,18,7,365,4,15,5,2,0,0,0
2016,9,Al-Faisaly,26,6,10,10,30,41,-11,28,1,4,4,5,21,25,-4,16,1,13,2,6,5,9,16,-7,12,0,760,2,25666,26,4,18,9,2,24,9,18,4,329,6,23,3,1,0,0,0
