Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,year,-9999
1,Waleed Abdullah,sa KSA,GK,Al-Nassr,35,1986,20,19,1649,18.3,20,1.09,52,37,71.2,13,1,5,6,31.6,6,5,0,1,0.0,2021,aec6d2a5
2,Nawaf Al Aqidi,sa KSA,GK,Al-Ta'ee,21,2000,7,7,630,7.0,5,0.71,25,20,80.0,5,1,1,3,42.9,0,0,0,0,,2021,70f3a9d1
3,Nawaf Al Aqidi,sa KSA,GK,Al-Nassr,21,2000,3,3,270,3.0,4,1.33,8,5,62.5,1,1,1,0,0.0,1,1,0,0,0.0,2021,70f3a9d1
4,Malik Asselah,dz ALG,GK,Al-Hazem,35,1986,8,8,720,8.0,4,0.50,16,16,81.3,1,3,4,3,37.5,4,1,3,0,75.0,2021,9e23b6c3
5,Muataz Al Bagawi,sa KSA,GK,Al-Taawoun,23,1998,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,2021,d8eff89c
6,Basil Al Bahrani,sa KSA,GK,Al-Fateh,26,1995,2,2,180,2.0,4,2.00,14,12,85.7,0,0,2,0,0.0,2,2,0,0,0.0,2021,1b08d7ff
7,Zaid Al Bawardi,sa KSA,GK,Al-Shabab,24,1997,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,2021,ae82309a
8,Ameen Bokhari,sa KSA,GK,Al-Nassr,24,1997,10,8,781,8.7,12,1.38,35,25,71.4,5,2,1,3,37.5,2,2,0,0,0.0,2021,32a9aac0
9,Martín Campaña,uy URU,GK,Al-Batin,32,1989,29,29,2610,29.0,38,1.31,120,87,72.5,8,9,12,8,27.6,5,5,0,0,0.0,2021,a0f2f044
10,Cássio,pt POR,GK,Al-Taawoun,40,1980,29,29,2610,29.0,45,1.55,113,75,66.4,7,13,9,5,17.2,8,7,0,1,0.0,2021,5d3888a5
11,Waleed Al-Enezi,sa KSA,GK,Al-Fateh,25,1996,1,0,11,0.1,1,8.18,2,1,50.0,0,0,0,0,,0,0,0,0,,2021,32f4687b
12,Mazyad Freeh,sa KSA,GK,Al-Batin,32,1989,1,1,90,1.0,3,3.00,9,6,66.7,0,0,1,0,0.0,0,0,0,0,,2021,71dc1d1b
13,Moslem Al Freej,sa KSA,GK,Al-Fayha,33,1988,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,2021,3d438767
14,Marcelo Grohe,br BRA,GK,Al-Ittihad,34,1987,28,28,2474,27.5,25,0.91,90,68,74.4,18,5,5,12,42.9,3,2,1,0,33.3,2021,69c26681
